date,bitcoin_price,bitcoin_vol.
28-09-2022,"19,411.00",581190.0
27-09-2022,"19,081.00",660120.0
26-09-2022,"19,225.70",516030.0
23-09-2022,"19,293.50",431150.0
22-09-2022,"19,404.00",448630.0
21-09-2022,"18,489.00",446850.0
20-09-2022,"18,872.40",361180.0
19-09-2022,"19,538.90",423430.0
16-09-2022,"19,802.40",315590.0
15-09-2022,"19,701.70",358420.0
14-09-2022,"20,222.50",374220.0
13-09-2022,"20,175.50",485320.0
12-09-2022,"22,395.30",431980.0
09-09-2022,"21,365.20",480370.0
08-09-2022,"19,317.40",291430.0
07-09-2022,"19,281.50",319100.0
02-09-2022,"19,952.70",272220.0
01-09-2022,"20,126.10",275080.0
31-08-2022,"20,043.90",318170.0
30-08-2022,"19,792.60",308410.0
29-08-2022,"20,295.80",248040.0
26-08-2022,"20,249.90",322160.0
25-08-2022,"21,565.40",190150.0
24-08-2022,"21,365.20",202400.0
23-08-2022,"21,517.20",228650.0
22-08-2022,"21,416.30",251830.0
19-08-2022,"20,831.30",339470.0
18-08-2022,"23,203.60",160970.0
17-08-2022,"23,338.00",239530.0
16-08-2022,"23,856.80",201700.0
15-08-2022,"24,101.70",279280.0
12-08-2022,"24,398.70",194960.0
11-08-2022,"23,935.30",285360.0
10-08-2022,"23,962.90",243610.0
09-08-2022,"23,146.70",169620.0
08-08-2022,"23,816.30",197940.0
05-08-2022,"23,308.20",208900.0
04-08-2022,"22,612.10",181190.0
03-08-2022,"22,820.80",174660.0
02-08-2022,"22,988.60",177300.0
01-08-2022,"23,271.20",162330.0
29-07-2022,"23,774.30",221660.0
28-07-2022,"23,850.00",268320.0
27-07-2022,"22,958.30",242660.0
26-07-2022,"21,248.70",201570.0
25-07-2022,"21,301.90",206930.0
22-07-2022,"22,675.20",197540.0
21-07-2022,"23,153.00",217080.0
20-07-2022,"23,215.20",281310.0
19-07-2022,"23,410.20",308910.0
18-07-2022,"22,525.80",279720.0
15-07-2022,"20,825.10",164670.0
14-07-2022,"20,586.00",205280.0
13-07-2022,"20,250.00",249380.0
12-07-2022,"19,330.90",167910.0
11-07-2022,"19,963.20",160200.0
08-07-2022,"21,611.20",439900.0
07-07-2022,"21,637.80",115810.0
06-07-2022,"20,561.10",105240.0
01-07-2022,"19,262.90",150180.0
30-06-2022,"19,926.60",127730.0
29-06-2022,"20,111.30",98970.0
28-06-2022,"20,278.00",83830.0
27-06-2022,"20,730.20",84690.0
24-06-2022,"21,226.90",104560.0
23-06-2022,"21,100.70",110700.0
22-06-2022,"19,965.80",125940.0
